ID_Alerta_posible_fraude,Cód. de gravedad del siniestro,Cód._Hecho,Código_Oficina,Tipo de Alerta,Antecedentes de siniestros en otras compañías?,Vehículo con rastreo satelital?,FRAUDE DETECTADO,Tipo de persona,Nacionalidad,Sexo,EDAD APROXIMADA POR NRO DNI,Código de actividad del asegurado
33732,R,5,351,PARAMETROS,NO,NO,1,PF,ARGENTINA,Masculino,59,226
60830,A,3,312,ANALISIS,NO,SI,0,PJ,N/A,N/A,,213
51765,A,3,351,ANALISIS,NO,NO,0,PJ,ARGENTINA,Masculino,59,75
52935,B,3,388,ANALISIS,NO,NO,0,PJ,N/A,N/A,,62
26161,R,5,388,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,62,238
26288,B,3,338,CASI,SI,SI,1,PF,ARGENTINA,Masculino,59,228
32619,R,5,392,PARAMETROS,NO,NO,0,PJ,N/A,N/A,,238
37233,M,3,338,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,60,221
58860,A,3,316,CESVI,SI,NO,1,PF,ARGENTINA,Masculino,67,213
47246,R,5,216,ANALISIS,NO,SI,0,PJ,N/A,N/A,,98
31575,R,5,209,PARAMETROS,NO,NO,0,PJ,ARGENTINA,Masculino,76,238
31574,R,5,209,PARAMETROS,NO,SI,0,PJ,ARGENTINA,Masculino,76,238
62046,B,4,216,PARAMETROS,NO,NO,1,PF,ARGENTINA,Masculino,44,130
28177,C,8,338,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,65,24
34349,R,5,218,ANALISIS,NO,SI,1,PJ,ARGENTINA,Masculino,64,228
47982,M,2,201,ANALISIS,NO,NO,0,PJ,N/A,N/A,,62
41607,R,5,216,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,84,226
26861,R,5,201,PARAMETROS,NO,SI,0,PJ,N/A,N/A,,114
63215,A,4,218,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,73,234
60661,T,8,397,PARAMETROS,NO,NO,0,PJ,N/A,N/A,,23
58499,A,4,230,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,60,228
62360,A,4,230,ANALISIS,NO,NO,0,PJ,N/A,N/A,,60
29531,R,5,230,PARAMETROS,NO,NO,0,PJ,ARGENTINA,Masculino,84,212
59301,L,2,216,ANALISIS,NO,SI,0,PJ,N/A,N/A,,213
64216,R,5,229,PARAMETROS,NO,NO,0,PJ,N/A,N/A,,208
29847,B,8,216,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,55,130
47969,R,5,201,ANALISIS,NO,SI,0,PJ,N/A,N/A,,30
41364,R,5,231,ANALISIS,NO,NO,0,PJ,N/A,N/A,,207
61937,T,7,397,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,63,30
29849,A,8,101,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,42,130
58193,R,5,238,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,55,228
30875,R,5,216,PARAMETROS,NO,NO,0,PJ,N/A,N/A,,238
33261,B,3,338,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,70,2
50667,L,2,230,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,67,242
45483,A,3,201,CESVI,SI,NO,1,PJ,ARGENTINA,Masculino,76,46
46816,A,3,201,ANALISIS,NO,SI,1,PJ,ARGENTINA,Masculino,76,46
59078,A,3,232,ANALISIS,NO,NO,1,PJ,N/A,N/A,,14
38408,G,3,220,PARAMETROS,NO,NO,0,PJ,N/A,N/A,,143
44282,G,3,243,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,47,221
43767,R,5,232,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,67,249
25524,A,3,234,CHECKLIST,NO,NO,1,PJ,N/A,N/A,,208
53248,A,4,225,PARAMETROS,NO,NO,0,PF,ARGENTINA,Femenino,71,130
33722,R,5,230,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,52,130
