ID_Alerta_posible_fraude,Cód. de gravedad del siniestro,Cód._Hecho,Código_Oficina,Tipo de Alerta,Antecedentes de siniestros en otras compañías?,Vehículo con rastreo satelital?,FRAUDE DETECTADO,Tipo de persona,Nacionalidad,Sexo,EDAD APROXIMADA POR NRO DNI,Código de actividad del asegurado,Antigüedad en días al momento del stro,Codigo de Productor
33732,R,5,351,PARAMETROS,NO,NO,1,PF,ARGENTINA,Masculino,59,226,3607,5116836
26161,R,5,388,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,62,238,3210,8800017
26288,B,3,338,CASI,SI,SI,1,PF,ARGENTINA,Masculino,59,228,3216,9613
37233,M,3,338,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,60,221,3587,83079
58860,A,3,316,CESVI,SI,NO,1,PF,ARGENTINA,Masculino,67,213,4511,87885
62046,B,4,216,PARAMETROS,NO,NO,1,PF,ARGENTINA,Masculino,44,130,4758,7530
28177,C,8,338,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,65,24,3325,85296
41607,R,5,216,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,84,226,3903,7994
63215,A,4,218,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,73,234,4812,9748
58499,A,4,230,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,60,228,4483,88027
29847,B,8,216,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,55,130,3390,7910
61937,T,7,397,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,63,30,4739,9700023
29849,A,8,101,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,42,130,3362,1339
58193,R,5,238,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,55,228,4432,86968
33261,B,3,338,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,70,2,3556,8403
50667,L,2,230,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,67,242,4015,85468
44282,G,3,243,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,47,221,3943,85246
43767,R,5,232,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,67,249,3970,6258
53248,A,4,225,PARAMETROS,NO,NO,0,PF,ARGENTINA,Femenino,71,130,4416,9551
33722,R,5,230,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,52,130,3601,83081
60734,I,6,225,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,42,225,4646,84437
30304,R,5,101,CHECKLIST,NO,SI,0,PF,ARGENTINA,Masculino,47,106,3444,85157
48143,G,2,218,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,57,41,3741,83537
62967,A,4,218,ANALISIS,NO,NO,0,PF,ARGENTINA,Femenino,48,225,4800,10398
26859,R,5,230,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,62,130,3260,11291
26917,M,2,209,CESVI,SI,NO,0,PF,ARGENTINA,Femenino,86,19,3209,12153
48712,A,4,243,PARAMETROS,NO,NO,0,PF,ARGENTINA,Femenino,53,221,4183,6653
51096,A,4,232,PARAMETROS,NO,NO,1,PF,ARGENTINA,Masculino,56,240,4293,9883
25743,A,8,338,ANALISIS,SI,NO,1,PF,ARGENTINA,Femenino,65,221,3160,3880429
47676,G,2,230,ANALISIS,NO,SI,0,PF,EXTRANJERO,Masculino,76,223,4082,9865
27120,I,3,216,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,68,228,3263,12032
28849,A,5,230,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,59,218,3084,84509
29540,L,2,388,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,57,234,3327,8819727
29541,L,2,388,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,57,234,3327,8819727
49331,A,3,201,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,35,23,4201,8011
